dataset,graph_id,region,graph_family,node_id,component_id,component_size,label,hhid,site,group,sex,sars,index,degree,weighted_degree_sec,contact_count,degree_centrality,betweenness_centrality,closeness_centrality,clustering,core_number,graph_center_score,structural_source_label,source_file
sociopatterns_hospital,sociopatterns_hospital,sociopatterns,temporal_contact_aggregated,1098,0,75,simulation_source_unknown_until_task_generation,sociopatterns_hospital_component_0,SocioPatterns hospital ward,ADM,Unknown,Unknown,Unknown,61,29600.0,1480.0,0.8243243243243243,0.040408304449621735,0.8505747126436781,0.4896174863387978,22,0.5,0,data/raw/socioHos/hospital_lyon_contacts.dat/detailed_list_of_contacts_Hospital.dat
sociopatterns_hospital,sociopatterns_hospital,sociopatterns,temporal_contact_aggregated,1100,0,75,simulation_source_unknown_until_task_generation,sociopatterns_hospital_component_0,SocioPatterns hospital ward,NUR,Unknown,Unknown,Unknown,28,5760.0,288.0,0.3783783783783784,0.0028539862294660436,0.6166666666666667,0.7354497354497355,22,0.5,0,data/raw/socioHos/hospital_lyon_contacts.dat/detailed_list_of_contacts_Hospital.dat
sociopatterns_hospital,sociopatterns_hospital,sociopatterns,temporal_contact_aggregated,1105,0,75,simulation_source_unknown_until_task_generation,sociopatterns_hospital_component_0,SocioPatterns hospital ward,NUR,Unknown,Unknown,Unknown,27,7460.0,373.0,0.36486486486486486,0.0019077350880391231,0.6115702479338843,0.7606837606837606,22,0.5,0,data/raw/socioHos/hospital_lyon_contacts.dat/detailed_list_of_contacts_Hospital.dat
sociopatterns_hospital,sociopatterns_hospital,sociopatterns,temporal_contact_aggregated,1108,0,75,simulation_source_unknown_until_task_generation,sociopatterns_hospital_component_0,SocioPatterns hospital ward,NUR,Unknown,Unknown,Unknown,34,8600.0,430.0,0.4594594594594595,0.0036521778576242775,0.6491228070175439,0.7094474153297683,22,0.5,0,data/raw/socioHos/hospital_lyon_contacts.dat/detailed_list_of_contacts_Hospital.dat
sociopatterns_hospital,sociopatterns_hospital,sociopatterns,temporal_contact_aggregated,1109,0,75,simulation_source_unknown_until_task_generation,sociopatterns_hospital_component_0,SocioPatterns hospital ward,NUR,Unknown,Unknown,Unknown,55,34220.0,1711.0,0.7432432432432432,0.0278345684832036,0.7956989247311828,0.5198653198653199,22,0.5,0,data/raw/socioHos/hospital_lyon_contacts.dat/detailed_list_of_contacts_Hospital.dat
sociopatterns_hospital,sociopatterns_hospital,sociopatterns,temporal_contact_aggregated,1114,0,75,simulation_source_unknown_until_task_generation,sociopatterns_hospital_component_0,SocioPatterns hospital ward,NUR,Unknown,Unknown,Unknown,45,26700.0,1335.0,0.6081081081081081,0.015920784906134144,0.7184466019417476,0.5666666666666667,22,0.5,0,data/raw/socioHos/hospital_lyon_contacts.dat/detailed_list_of_contacts_Hospital.dat
sociopatterns_hospital,sociopatterns_hospital,sociopatterns,temporal_contact_aggregated,1115,0,75,simulation_source_unknown_until_task_generation,sociopatterns_hospital_component_0,SocioPatterns hospital ward,NUR,Unknown,Unknown,Unknown,57,85720.0,4286.0,0.7702702702702703,0.028688877674588616,0.8131868131868132,0.5012531328320802,22,0.5,0,data/raw/socioHos/hospital_lyon_contacts.dat/detailed_list_of_contacts_Hospital.dat
sociopatterns_hospital,sociopatterns_hospital,sociopatterns,temporal_contact_aggregated,1116,0,75,simulation_source_unknown_until_task_generation,sociopatterns_hospital_component_0,SocioPatterns hospital ward,NUR,Unknown,Unknown,Unknown,19,1860.0,93.0,0.25675675675675674,0.002017484906567927,0.5736434108527132,0.6549707602339181,17,0.5,0,data/raw/socioHos/hospital_lyon_contacts.dat/detailed_list_of_contacts_Hospital.dat
sociopatterns_hospital,sociopatterns_hospital,sociopatterns,temporal_contact_aggregated,1130,0,75,simulation_source_unknown_until_task_generation,sociopatterns_hospital_component_0,SocioPatterns hospital ward,MED,Unknown,Unknown,Unknown,32,19140.0,957.0,0.43243243243243246,0.0034160381644040357,0.6379310344827587,0.7157258064516129,22,0.5,0,data/raw/socioHos/hospital_lyon_contacts.dat/detailed_list_of_contacts_Hospital.dat
sociopatterns_hospital,sociopatterns_hospital,sociopatterns,temporal_contact_aggregated,1142,0,75,simulation_source_unknown_until_task_generation,sociopatterns_hospital_component_0,SocioPatterns hospital ward,NUR,Unknown,Unknown,Unknown,41,4980.0,249.0,0.5540540540540541,0.008775200055909288,0.6915887850467289,0.6170731707317073,22,0.5,0,data/raw/socioHos/hospital_lyon_contacts.dat/detailed_list_of_contacts_Hospital.dat
sociopatterns_hospital,sociopatterns_hospital,sociopatterns,temporal_contact_aggregated,1144,0,75,simulation_source_unknown_until_task_generation,sociopatterns_hospital_component_0,SocioPatterns hospital ward,MED,Unknown,Unknown,Unknown,50,40900.0,2045.0,0.6756756756756757,0.017897486958894933,0.7551020408163265,0.5779591836734694,22,0.5,0,data/raw/socioHos/hospital_lyon_contacts.dat/detailed_list_of_contacts_Hospital.dat
sociopatterns_hospital,sociopatterns_hospital,sociopatterns,temporal_contact_aggregated,1148,0,75,simulation_source_unknown_until_task_generation,sociopatterns_hospital_component_0,SocioPatterns hospital ward,MED,Unknown,Unknown,Unknown,33,25920.0,1296.0,0.44594594594594594,0.004279844318948508,0.6434782608695652,0.6723484848484849,22,0.5,0,data/raw/socioHos/hospital_lyon_contacts.dat/detailed_list_of_contacts_Hospital.dat
